bitrix_id;company_id;omni_id
51427;44036ec6-c726-4f09-aa30-a0e10867badb;
51409;765fcdfd-87bf-4eed-8a2a-e91d4d944865;1996074
51395;ec39c1be-cbfb-4008-a772-9cd4dcb5a314;
51369;c31e8403-c8d5-41ab-8d20-e3107a9ca081;
51347;01e59e84-bf35-44a2-adb7-cbd9af627974;2008420
51345;14e1f2f3-4f23-4336-b16d-38cc9b033ffb;2005681
51343;2a75e6a7-ff6c-404e-b18b-a61a63e26855;2005681
51335;58a4b471-b229-4a81-a85d-80bc7139e34c;2011364
51311;fa65d938-61bd-413f-ac4c-9ecb04fc088a;
51305;4ec9534a-939d-4e0d-aa9b-34967d441444;2008435
51301;3bfed3b5-055c-4815-9962-c74c1b9f49fa;
51299;34ab849d-fbe2-4183-ade7-d3cfc3304779;2018282
51283;3ddf0b59-a28c-4592-9a27-fe10bd48b92d;2008091
51281;b38bffad-881f-4930-85ac-3426255ed2af;1958694
51249;5ff79a90-fa4c-4f78-9509-a843e2c41f63;1988542
51245;a3d63f67-5458-4d51-b034-33ec2010fae8;
51235;b3fa79c9-baee-4d82-94f5-abeb7b2e0b5b;2008160
51219;a3fde565-7350-4dd4-b53b-ca7fc7a0a9e0;
51155;0a1d717f-b385-4586-803d-30dae19735fb;
51141;842aa85b-c285-4cf3-8979-b950ea5ae493;
51047;3ba669f6-5513-4311-b9a2-e91328c3aaf3;2010397
51039;b0137668-548b-4312-a2fe-010120e1d85f;2008442
51035;7916c0f4-fc89-4ce3-b821-c5798a97fa12;2013991
50999;6c485c68-8bb4-446b-98c9-b8b0ce00ad53;
50987;3ddf0b59-a28c-4592-9a27-fe10bd48b92d;2008091
50967;a3de729d-ffd6-461b-8b34-bad21afbe1d5;
50961;17df38df-b10c-46fd-9197-fda8a44502dd;1331800
50883;8bff4bfd-0075-4ef1-b9b2-0c2bcdfa84eb;2017822
50815;eaacc49d-ee0e-4a4e-b445-ce79d7ff900c;
50793;eaacc49d-ee0e-4a4e-b445-ce79d7ff900c;
50785;2a109f9a-f300-44cf-b56b-c4c5df3f1669;1864302
50775;4b17ba8f-83a7-4955-8142-235059680b3b;2005344
50767;e081af57-b486-4b2b-9f4b-27ce40450264;1962336
50763;83dce2f8-702f-49b2-8ca1-17448ff0985e;1166427
50757;3537b796-de62-4241-b187-408bb962a3d7;2020410
50749;00102909-5462-479c-bec7-ffd9ad819edb;
50743;f94acf1d-e160-4cf4-8560-dbb5fe690169;2006381
50713;051272aa-388f-4443-8743-fea899dbc4f9;
50675;2a75e6a7-ff6c-404e-b18b-a61a63e26855;2005681
50669;e5157fcf-22a2-4738-8e9b-39703109bb28;2007694
50649;69932c7f-ec7f-49d6-bf14-571cb0fde767;2006378
50639;d823e302-1e7b-41ab-807b-df646d8b9d67;1990113
50637;446a711e-54bf-4b5d-b69c-4aba15bf64c1;2005374
50599;25bb764b-22db-481a-80b5-e1cb6347be6b;
50575;99c0e53b-b92c-426d-8c26-e4b63cc2ad09;1961256
50565;9c78a24d-f763-4f27-8ede-1c5e1f933853;
50541;9c78a24d-f763-4f27-8ede-1c5e1f933853;
50339;a60da10b-1d70-4b9b-8e46-967e69c650fe;
50319;6d5af129-4a37-47ac-8363-78329e189c37;2005533
50303;f23cc316-6322-44ff-8ab2-b7766d32feab;
50281;d9c6bcde-f00c-4450-8ba3-f302d284f7a7;
50259;acc6d993-f02a-4d2f-aac7-6fcc4c4349cb;
50223;8770c135-8cf8-48d0-99a4-a3312689389d;
50151;0c459703-d8c6-4877-b7f8-d2a0a7e5cd28;
50099;11b8ee38-da0d-409f-8fb6-730d2b1555fb;
50081;04770147-d52a-49e4-ae46-606a9f906a84;1843822
50073;0443e410-6586-4d8a-ad4f-b99233a9bf41;
